timestamp,t_rel,pos:left_shoulder_left_top_leg-left_shoulder,pos:left_bottom_leg_left_foot-left_bottom_leg,pos:left_motor_left_shoulder--left_motor,pos:right_motor_right_shoulder-right_motor,pos:left_top_leg_left_bottom_leg-left_top_leg,pos:right_shoulder_right_top_leg-right_shoulder,pos:right_top_leg_right_bottom_leg--right_top_leg,pos:right_bottom_leg_right_foot-right_bottom_leg,vel:left_shoulder_left_top_leg-left_shoulder,vel:left_bottom_leg_left_foot-left_bottom_leg,vel:left_motor_left_shoulder--left_motor,vel:right_motor_right_shoulder-right_motor,vel:left_top_leg_left_bottom_leg-left_top_leg,vel:right_shoulder_right_top_leg-right_shoulder,vel:right_top_leg_right_bottom_leg--right_top_leg,vel:right_bottom_leg_right_foot-right_bottom_leg
2025-11-10T09:11:24,181.577,-0.8543836546611447,-0.7797598058416525,-0.0012262248706158337,-2.510268501870668e-05,-1.4439291529306062,0.8423245725849762,1.4421576815432937,0.7841651651745103,-0.13146292029280604,-0.1310050257616988,-0.0008010073061348098,-4.434760216900664e-05,-0.16293623623477116,0.1556730658492231,0.16165360985592214,0.13396198535168008
2025-11-10T09:11:24,181.677,-0.867646607699646,-0.7929765630886016,-0.0013070364200709972,-2.9576799572282844e-05,-1.46036736717869,0.8580300244121462,1.4584664949429045,0.7976802424047014,-0.13192734724413618,-0.13146783508152737,-0.0008038370727363172,-4.450427160574414e-05,-0.1635118508589345,0.1562230214352966,0.16222469326886949,0.1344352409001835
2025-11-10T09:11:24,181.777,-0.8808035115452587,-0.8060876405194064,-0.0013872018087827045,-3.4015139571284345e-05,-1.476674143175543,0.8736098970801813,1.474644904767009,0.811087254483193,-0.13176665783323854,-0.13130770536306857,-0.0008028579875930632,-4.445006476132455e-05,-0.16331269106729004,0.15603273954297137,0.16202710125372755,0.134271496838657
2025-11-10T09:11:24,181.877,-0.8940128539155923,-0.8192509738278886,-0.0014676867069144874,-3.8471169142580955e-05,-1.4930459119158455,0.8892518653253854,1.4908877957147466,0.8245477019247882,-0.1318832746349298,-0.13142391598029612,-0.0008035685370770124,-4.4489404185065476e-05,-0.16345722690071718,0.15617083243645297,0.1621704993078796,0.13439033048578047
2025-11-10T09:11:25,181.977,-0.9072445213054512,-0.8324365543962945,-0.0015483076320241419,-4.293472981909056e-05,-1.509445350470931,0.904920269954529,1.5071581386617885,0.8380308987768788,-0.1320329107746342,-0.1315730309268779,-0.00080448027432504,-4.453988232733519e-05,-0.16364268717616148,0.15634802549269888,0.16235449964876866,0.1345428111572166
2025-11-10T09:11:25,182.077,-0.9204350947172812,-0.8455811841198662,-0.0016286781703588327,-4.7384427884111585e-05,-1.5257938568080418,0.9205400127592321,1.5233779503268772,0.851472220468502,-0.13201807105580085,-0.13155824289582077,-0.000804389855496824,-4.453487630780005e-05,-0.16362429470527948,0.15633045289867736,0.16233625196255191,0.13452768934041415
2025-11-10T09:11:25,182.177,-0.9146562205194793,-0.8398224381444195,-0.0015934673257848387,-4.543498683002537e-05,-1.5186314720887089,0.9136969039835781,1.5162719475627726,0.845583491852776,-0.06559318716102143,-0.06536472150993083,-0.00039966115184131567,-2.2127156180124396e-05,-0.0812967414298693,0.0776727956554974,0.08065677730965849,0.06684009116839618
2025-11-10T09:11:25,182.277,-0.9014473181818091,-0.8266595433359362,-0.0015129851087845678,-4.097910569901483e-05,-1.5022602487285472,0.8980554568072323,1.5000295977019689,0.8321234928087142,0.0035839498373527734,0.003571466689811023,2.1837108122550926e-05,1.209006929304459e-06,0.00444197722104344,-0.004243968244337537,-0.004407010185535541,-0.0036520794954446184
2025-11-10T09:11:25,182.377,-0.8882372434364875,-0.813495480203379,-0.0014324957482711865,-3.652282906889327e-05,-1.4858875722765963,0.8824126213132292,1.483785806188046,0.8186622990699333,0.04856013353467584,0.04839099519874161,0.0002958782724552475,1.6381238743769838e-05,0.06018583317315078,-0.05750294340452381,-0.05971205312860801,-0.049483245030301354
2025-11-10T09:11:25,182.477,-0.8750264476769729,-0.8003306985679718,-0.0013520019945978555,-3.2066309212388835e-05,-1.4695140021936612,0.8667689320234204,1.46754112807776,0.8052003706107268,0.07783854461900405,0.07756742753282463,0.00047427246253051923,2.6257995809689583e-05,0.0964737392563981,-0.09217325200971521,-0.0957143025239933,-0.07931822867484033
2025-11-10T09:11:25,182.577,-0.8618164775566496,-0.7871667396959967,-0.0012715132715675598,-2.761006787638512e-05,-1.453141455414803,0.8511262204221028,1.4512974652161492,0.7917392834858296,0.09681787108878874,0.09648064768323641,0.0005899140376146173,3.266046745601411e-05,0.11999687425423632,-0.11464780173616296,-0.1190522645108508,-0.09865834563608805
2025-11-10T09:11:25,182.677,-0.8486058910471316,-0.7740021665817538,-0.0011910207928603994,-2.3153618608116392e-05,-1.4367681446780531,0.8354827789176653,1.4350530444104874,0.7782775682543903,0.10914568483271203,0.10876552279106848,0.0006650277567953396,3.681912282675612e-05,0.1352760690870016,-0.1292458994846404,-0.13421118224140144,-0.11122050689420863
2025-11-10T09:11:25,182.778,-0.8353880719382988,-0.7608303860598442,-0.001110484245720249,-1.8694729500261316e-05,-1.4203858697975893,0.8198307728620455,1.4187997300264288,0.7648084829344021,0.11675634043530551,0.11634966994876582,0.0007113996974807851,3.938649563543411e-05,0.14470877890665057,-0.1382581296111241,-0.14356963821354377,-0.1189758384514304
2025-11-10T09:11:25,182.877,-0.8221854609712655,-0.7476737607087146,-0.001030040362219908,-1.42409706954663e-05,-1.404022444014494,0.8041967756720022,1.402565116360532,0.7513548948577768,0.12259756171781235,0.12217054584966736,0.0007469904246121817,4.1356968807951264e-05,0.15194843712104522,-0.14517506727937432,-0.15075230617939525,-0.12492809934857318
